lon,lat,depth,Time UTC,mag
115.45,-8.32,10,2017-09-23T08:47:55,2.6
115.47,-8.3,10,2017-09-23T09:09:12,2.7
115.46,-8.29,13,2017-09-23T09:11:16,2.6
115.49,-8.3,10,2017-09-23T09:13:19,2.9
115.51,-8.3,10,2017-09-23T09:21:32,3.1
115.44,-8.3,10,2017-09-23T09:31:12,2.4
115.48,-8.26,10,2017-09-23T09:36:47,2.4
115.44,-8.26,12,2017-09-23T09:38:41,2.5
115.46,-8.27,11,2017-09-23T09:49:27,2.5
115.44,-8.28,10,2017-09-23T09:52:01,2.4
115.45,-8.3,11,2017-09-23T09:59:53,2.5
115.46,-8.27,10,2017-09-23T10:07:35,2.5
115.47,-8.31,10,2017-09-23T10:13:26,2.4
115.48,-8.31,10,2017-09-23T10:36:20,2.7
115.46,-8.28,14,2017-09-23T10:43:05,2.7
115.44,-8.27,13,2017-09-23T10:47:56,2.5
115.45,-8.27,15,2017-09-23T10:51:48,2.5
115.46,-8.27,15,2017-09-23T11:23:45,2.9
115.44,-8.27,14,2017-09-23T11:28:54,2.9
115.51,-8.32,10,2017-09-23T12:09:47,3.1
115.47,-8.31,10,2017-09-23T13:45:04,3.3
115.46,-8.32,10,2017-09-23T14:07:20,2.6
115.46,-8.29,11,2017-09-23T14:09:42,2.6
115.48,-8.3,13,2017-09-23T14:17:47,2.6
115.46,-8.31,10,2017-09-23T14:28:09,2.5
115.44,-8.35,10,2017-09-23T14:30:48,2.5
115.48,-8.28,10,2017-09-23T14:34:59,2.6
115.44,-8.31,10,2017-09-23T14:39:45,2.5
115.46,-8.3,13,2017-09-23T14:41:14,2.4
115.45,-8.3,10,2017-09-23T14:48:42,2.6
115.44,-8.3,12,2017-09-23T14:51:10,2.4
115.43,-8.32,10,2017-09-23T14:52:42,2.4
115.45,-8.3,11,2017-09-23T14:54:01,2.4
115.46,-8.31,10,2017-09-23T14:57:42,2.3
115.47,-8.3,10,2017-09-23T15:07:32,2.9
115.46,-8.32,10,2017-09-23T15:10:09,2.6
115.44,-8.3,10,2017-09-23T15:13:53,2.5
115.45,-8.29,12,2017-09-23T15:15:43,2.5
115.5,-8.28,14,2017-09-23T15:19:13,2.6
115.46,-8.31,10,2017-09-23T15:32:33,2.5
115.46,-8.29,10,2017-09-23T15:33:45,2.5
115.52,-8.35,10,2017-09-23T15:39:24,2.4
115.49,-8.3,10,2017-09-23T15:44:41,2.5
115.47,-8.32,10,2017-09-23T15:47:01,2.5
115.47,-8.31,10,2017-09-23T15:59:10,2.8
115.45,-8.28,13,2017-09-23T16:11:17,2.4
115.45,-8.29,11,2017-09-23T16:18:30,2.4
115.48,-8.28,10,2017-09-23T16:45:23,2.9
115.46,-8.3,10,2017-09-23T17:08:50,2.5
115.47,-8.31,10,2017-09-23T17:41:28,2.6
115.46,-8.29,10,2017-09-23T17:50:33,2.8
115.49,-8.32,10,2017-09-23T17:59:36,3.2
115.49,-8.34,10,2017-09-23T18:45:13,3.8
115.48,-8.31,10,2017-09-23T18:48:48,2.9
115.45,-8.33,10,2017-09-23T19:16:31,2.6
115.45,-8.28,12,2017-09-23T19:24:11,2.4
115.51,-8.31,10,2017-09-23T19:25:38,2.7
115.47,-8.29,10,2017-09-23T19:28:11,2.6
115.46,-8.32,10,2017-09-23T22:56:14,2.7
115.47,-8.33,10,2017-09-23T23:03:46,2.4
115.47,-8.28,11,2017-09-23T23:19:12,3.1
115.47,-8.29,10,2017-09-23T23:30:04,2.7
115.45,-8.29,11,2017-09-23T23:40:08,2.6
115.48,-8.32,10,2017-09-24T00:44:23,2.7
115.44,-8.33,10,2017-09-24T01:20:00,2.6
115.47,-8.33,10,2017-09-24T01:22:10,2.8
115.51,-8.29,12,2017-09-24T01:23:45,2.8
115.46,-8.29,10,2017-09-24T01:36:41,2.7
115.46,-8.3,12,2017-09-24T01:45:08,3
115.47,-8.3,11,2017-09-24T01:47:34,3
115.47,-8.3,10,2017-09-24T01:58:06,2.7
115.48,-8.31,10,2017-09-24T02:14:08,3.5
115.48,-8.28,11,2017-09-24T02:40:20,2.7
115.45,-8.29,11,2017-09-24T02:49:27,2.5
115.49,-8.3,10,2017-09-24T03:16:04,3.1
115.47,-8.29,10,2017-09-24T03:22:59,2.7
115.46,-8.28,10,2017-09-24T03:24:51,2.3
115.45,-8.29,11,2017-09-24T03:28:03,2.5
115.47,-8.27,10,2017-09-24T03:29:08,2.4
115.46,-8.3,10,2017-09-24T03:36:04,3
115.43,-8.32,10,2017-09-24T03:41:20,2.5
115.45,-8.28,12,2017-09-24T03:56:30,2.7
115.46,-8.29,12,2017-09-24T04:06:51,2.7
115.47,-8.29,11,2017-09-24T04:09:08,2.7
115.46,-8.3,12,2017-09-24T04:28:47,2.5
115.45,-8.29,13,2017-09-24T04:30:39,2.5
115.46,-8.29,10,2017-09-24T04:37:16,2.6
115.46,-8.29,11,2017-09-24T04:40:29,2.9
115.49,-8.32,10,2017-09-24T05:04:16,3.7
115.43,-8.33,15,2017-09-24T05:45:34,2.7
115.46,-8.29,10,2017-09-24T05:47:13,2.7
115.46,-8.32,10,2017-09-24T05:55:36,2.8
115.46,-8.3,10,2017-09-24T06:27:53,2.8
115.46,-8.31,10,2017-09-24T06:54:36,3.4
